Date,Amount,Category
2017-01-26,100,Other
2017-01-26,200,Other
2017-01-27,21.5,Social Life
2017-01-27,100,Other
2017-01-28,19.2,Social Life
2017-01-28,40,Food
2017-01-29,25,Social Life
2017-01-29,85,Food
2017-01-30,28.9,Social Life
2017-01-30,20,Food
2017-01-31,23.2,Social Life
2017-01-31,20,Food
2017-02-01,31.5,Social Life
2017-02-01,80,Transportation
2017-02-02,36.2,Social Life
2017-02-02,80,Food
2017-02-03,38.2,Social Life
2017-02-03,18,Food
2017-02-03,25,Food
2017-02-03,239,Food
2017-02-04,26.4,Social Life
2017-02-04,32,Food
2017-02-04,15,Food
2017-02-05,20.9,Social Life
2017-02-05,262,Food
2017-02-06,21.5,Social Life
2017-02-06,40,Food
2017-02-06,30,Food
2017-02-06,30,Food
2017-02-06,400,Self-development
2017-02-06,306,Transportation
2017-02-06,504,Food
2017-02-07,30.2,Social Life
2017-02-07,40,Other
2017-02-07,50,Food
2017-02-07,80,Other
2017-02-07,115,Food
2017-02-07,14,Food
2017-02-08,33.4,Social Life
2017-02-08,250,Other
2017-02-08,20,Food
2017-02-08,20,Other
2017-02-08,286,Transportation
2017-02-08,250,Other
2017-02-08,199,Transportation
2017-02-08,25,Food
2017-02-08,30,Other
2017-02-08,43,Transportation
2017-02-08,20,Food
2017-02-09,32.6,Social Life
2017-02-09,1000,Allowance
2017-02-09,85,Food
2017-02-10,22.2,Social Life
2017-02-10,725,Transportation
2017-02-10,200,Food
2017-02-10,8,Other
2017-02-11,21.7,Social Life
2017-02-11,300,Other
2017-02-11,300,Food
2017-02-11,140,Other
2017-02-11,5,Other
2017-02-11,201,Other
2017-02-11,10,Food
2017-02-12,30,Social Life
2017-02-12,107,Food
2017-02-12,80,Other
2017-02-12,106,Food
2017-02-12,8000,Salary
2017-02-12,1400,Education
2017-02-13,35.7,Social Life
2017-02-13,388,Food
2017-02-13,60,Transportation
2017-02-13,500,Other
2017-02-13,500,Other
2017-02-13,30,Other
2017-02-13,354,Food
2017-02-13,40,Other
2017-02-13,211,Food
2017-02-14,32.8,Social Life
2017-02-14,42,Transportation
2017-02-14,10,Food
2017-02-14,877.81,Food
2017-02-14,20,Food
2017-02-14,440,Other
2017-02-15,39.3,Social Life
2017-02-15,15,Food
2017-02-15,4580,Household
2017-02-15,535.3,Food
2017-02-15,260,Other
2017-02-16,25.5,Social Life
2017-02-16,106,Food
2017-02-16,135.5,Food
2017-02-17,23,Social Life
2017-02-17,301.75,Food
2017-02-17,200,Other
2017-02-17,479,Other
2017-02-18,19.9,Social Life
2017-02-18,43,Transportation
2017-02-18,1000,Other
2017-02-18,66,Food
2017-02-19,21.3,Social Life
2017-02-19,340,Other
2017-02-19,1530,Food
2017-02-19,240,Other
2017-02-19,70,Other
2017-02-19,340,Other
2017-02-19,170,Other
2017-02-20,20.8,Social Life
2017-02-20,1500,Other
2017-02-20,70,Food
2017-02-20,1365,Transportation
2017-02-21,21.7,Social Life
2017-02-21,100,Food
2017-02-22,23.8,Social Life
2017-02-22,200,Other
2017-02-22,1000,Other
2017-02-22,148,Food
2017-02-22,59,Food
2017-02-22,301.15,Food
2017-02-23,29,Social Life
2017-02-23,171,Food
2017-02-24,23.7,Social Life
2017-02-24,37,Food
2017-02-24,200,Other
2017-02-24,188,Food
2017-02-25,21.3,Social Life
2017-02-25,176,Food
2017-02-25,2000,Other
2017-02-25,300,Food
2017-02-25,302,Food
2017-02-25,310,Other
2017-02-25,465,Food
2017-02-25,40,Food
2017-02-26,28.5,Social Life
2017-02-26,133,Food
2017-02-26,40,Food
2017-02-27,33.6,Social Life
2017-02-27,325,Transportation
2017-02-27,18,Food
2017-02-27,259,Food
2017-02-28,34.6,Social Life
2017-02-28,25,Food
2017-02-28,115,Food
2017-02-28,125,Other
2017-03-01,34.2,Social Life
2017-03-01,138,Food
2017-03-01,10,Food
2017-03-02,27,Social Life
2017-03-02,100,Other
2017-03-02,44,Transportation
2017-03-03,24.2,Social Life
2017-03-03,105,Food
2017-03-03,120,Food
2017-03-03,155,Food
2017-03-04,19.9,Social Life
2017-03-04,153,Transportation
2017-03-04,200,Other
2017-03-04,50,Transportation
2017-03-05,19.7,Social Life
2017-03-05,500,Other
2017-03-05,120,Food
2017-03-06,21.5,Social Life
2017-03-06,150,Other
2017-03-06,50,Food
2017-03-07,30.6,Social Life
2017-03-07,80,Food
2017-03-07,1500,Other
2017-03-07,5000,Other
2017-03-07,1000,Transportation
2017-03-07,150,Food
2017-03-07,125,Food
2017-03-07,80,Food
2017-03-07,70,Household
2017-03-07,491,Food
2017-03-08,30,Social Life
2017-03-08,214,Transportation
2017-03-08,2099,Household
2017-03-08,1000,Other
2017-03-09,19,Social Life
2017-03-09,641,Food
2017-03-10,19.6,Social Life
2017-03-10,373,Food
2017-03-11,20.6,Social Life
2017-03-11,10000,Other
2017-03-12,23.6,Social Life
2017-03-13,17.9,Social Life
2017-03-13,165,Food
2017-03-13,475,Food
2017-03-14,17.3,Social Life
2017-03-14,80,Food
2017-03-15,21.4,Social Life
2017-03-15,348,Food
2017-03-16,24.1,Social Life
2017-03-16,270,Transportation
2017-03-16,50,Other
2017-03-16,60,Transportation
2017-03-16,200,Transportation
2017-03-16,380,Food
2017-03-16,1575,Transportation
2017-03-16,250,Food
2017-03-16,111,Food
2017-03-17,20.9,Social Life
2017-03-17,200,Food
2017-03-18,30.1,Social Life
2017-03-18,201.8,Transportation
2017-03-18,336,Household
2017-03-18,138,Transportation
2017-03-18,1300,Transportation
2017-03-19,32.6,Social Life
2017-03-19,120,Transportation
2017-03-20,21.3,Social Life
2017-03-20,399,Apparel
2017-03-20,83,Food
2017-03-20,399,Apparel
2017-03-21,19.5,Social Life
2017-03-21,324.7,Food
2017-03-21,289,Food
2017-03-21,303,Household
2017-03-22,19.9,Social Life
2017-03-22,33,Food
2017-03-23,21,Social Life
2017-03-23,84,Food
2017-03-23,40,Food
2017-03-23,1500,Other
2017-03-23,100,Other
2017-03-23,25,Food
2017-03-24,25.4,Social Life
2017-03-24,243,Food
2017-03-25,17.5,Social Life
2017-03-25,200,Other
2017-03-25,339.15,Food
2017-03-26,20.4,Social Life
2017-03-26,500,Other
2017-03-26,67,Food
2017-03-26,100,Other
2017-03-26,30,Transportation
2017-03-26,78,Food
2017-03-27,26.8,Social Life
2017-03-27,50,Food
2017-03-28,25.8,Social Life
2017-03-28,300,Other
2017-03-29,20.9,Social Life
2017-03-29,1071,Salary
2017-03-30,19.4,Social Life
2017-03-30,1558,Other
2017-03-31,25.8,Social Life
2017-03-31,6631,Beauty
2017-04-01,26.3,Social Life
2017-04-02,29.6,Social Life
2017-04-02,8336,Beauty
2017-04-03,30.3,Social Life
2017-04-04,23.6,Social Life
2017-04-04,6135,Transportation
2017-04-05,28.4,Social Life
2017-04-05,9538,Cash
2017-04-06,20.7,Social Life
2017-04-06,5966,Food
2017-04-07,24.1,Social Life
2017-04-07,7713,Transportation
2017-04-08,27.3,Social Life
2017-04-08,7484,Food
2017-04-09,23.2,Social Life
2017-04-09,796,Education
2017-04-10,18.3,Social Life
2017-04-10,7229,Transportation
2017-04-11,24.6,Social Life
2017-04-11,7032,Allowance
2017-04-12,27.4,Social Life
2017-04-12,4284,Food
2017-04-13,20.4,Social Life
2017-04-13,5751,Apparel
2017-04-14,18.1,Social Life
2017-04-15,25.2,Social Life
2017-04-15,5893,Gift
2017-04-16,19.8,Social Life
2017-04-16,838,Cash
2017-04-17,21,Social Life
2017-04-17,7755,Beauty
2017-04-18,23.7,Social Life
2017-04-18,1247,Transportation
2017-04-19,19.6,Social Life
2017-04-19,366,Gift
2017-04-20,18.1,Social Life
2017-04-21,20.8,Social Life
2017-04-21,8822,Salary
2017-04-22,26,Social Life
2017-04-22,8123,Salary
2017-04-23,18.4,Social Life
2017-04-23,2600,Salary
2017-04-24,22,Social Life
2017-04-24,3106,Household
2017-04-25,14.4,Social Life
2017-04-25,7369,Other
2017-04-26,19.9,Social Life
2017-04-26,5512,Salary
2017-04-27,22.6,Social Life
2017-04-27,1323,Cash
2017-04-28,13.7,Social Life
2017-04-28,4323,Allowance
2017-04-29,15.9,Social Life
2017-04-29,4880,Other
2017-04-30,21.2,Social Life
2017-04-30,1366,Allowance
2017-05-01,23.7,Social Life
2017-05-01,6209,Education
2017-05-02,24,Social Life
2017-05-02,9324,Apparel
2017-05-03,17.2,Social Life
2017-05-03,2517,Salary
2017-05-04,23.2,Social Life
2017-05-04,1901,Other
2017-05-05,25.2,Social Life
2017-05-05,5202,Salary
2017-05-06,17.2,Social Life
2017-05-06,9604,Transportation
2017-05-07,16,Social Life
2017-05-07,7206,Salary
2017-05-08,15.6,Social Life
2017-05-08,501,Education
2017-05-09,13.4,Social Life
2017-05-09,5388,Allowance
2017-05-10,16,Social Life
2017-05-10,3425,Salary
2017-05-11,16.8,Social Life
2017-05-11,9101,Other
2017-05-12,14.6,Social Life
2017-05-12,5394,Cash
2017-05-13,19.4,Social Life
2017-05-13,9430,Gift
2017-05-14,21,Social Life
2017-05-14,9853,Beauty
2017-05-15,19.5,Social Life
2017-05-15,3175,Cash
2017-05-16,18.5,Social Life
2017-05-16,6888,Allowance
2017-05-17,13.3,Social Life
2017-05-17,9986,Allowance
2017-05-18,13.7,Social Life
2017-05-18,6727,Education
2017-05-19,14.3,Social Life
2017-05-19,8765,Apparel
2017-05-20,14.1,Social Life
2017-05-20,9520,Education
2017-05-21,11.4,Social Life
2017-05-21,7002,Household
2017-05-22,13.6,Social Life
2017-05-22,9622,Transportation
2017-05-23,16.6,Social Life
2017-05-23,1135,Transportation
2017-05-24,17.6,Social Life
2017-05-25,14.6,Social Life
2017-05-25,6869,Transportation
2017-05-26,17.2,Social Life
2017-05-26,6851,Household
2017-05-27,14.4,Social Life
2017-05-27,3854,Apparel
2017-05-28,16.4,Social Life
2017-05-28,2104,Cash
2017-05-29,17.3,Social Life
2017-05-29,1844,Apparel
2017-05-30,17.6,Social Life
2017-05-30,8813,Gift
2017-05-31,17.2,Social Life
2017-05-31,4354,Food
2017-06-01,17.7,Social Life
2017-06-01,7092,Allowance
2017-06-02,14.2,Social Life
2017-06-02,6614,Beauty
2017-06-03,16.6,Social Life
2017-06-03,7414,Cash
2017-06-04,15.7,Social Life
2017-06-04,4263,Beauty
2017-06-05,13.7,Social Life
2017-06-05,5440,Food
2017-06-06,14.7,Social Life
2017-06-06,2702,Other
2017-06-07,13.1,Social Life
2017-06-07,5079,Other
2017-06-08,12.9,Social Life
2017-06-08,912,Apparel
2017-06-09,15.4,Social Life
2017-06-09,7336,Transportation
2017-06-10,11.9,Social Life
2017-06-10,398,Transportation
2017-06-11,15.2,Social Life
2017-06-11,4478,Beauty
2017-06-12,15.3,Social Life
2017-06-12,185,Household
2017-06-13,16.5,Social Life
2017-06-13,139,Allowance
2017-06-14,16.1,Social Life
2017-06-14,5993,Food
2017-06-15,11.7,Social Life
2017-06-15,7234,Transportation
2017-06-16,11.2,Social Life
2017-06-16,480,Salary
2017-06-17,11.5,Social Life
2017-06-17,5077,Household
2017-06-18,10.8,Social Life
2017-06-18,3414,Allowance
2017-06-19,16.1,Social Life
2017-06-19,6640,Apparel
2017-06-20,14.8,Social Life
2017-06-20,7620,Transportation
2017-06-21,13.6,Social Life
2017-06-21,1292,Beauty
2017-06-22,13.8,Social Life
2017-06-22,3144,Beauty
2017-06-23,9.7,Social Life
2017-06-23,7157,Gift
2017-06-24,10.7,Social Life
2017-06-25,11,Social Life
2017-06-25,5728,Transportation
2017-06-26,15.3,Social Life
2017-06-27,15.3,Social Life
2017-06-27,7629,Apparel
2017-06-28,17,Social Life
2017-06-28,6172,Apparel
2017-06-29,16,Social Life
2017-06-29,2136,Gift
2017-06-30,16.3,Social Life
2017-07-01,15.7,Social Life
2017-07-01,8628,Allowance
2017-07-02,14.5,Social Life
2017-07-03,10.8,Social Life
2017-07-03,419,Apparel
2017-07-04,10.5,Social Life
2017-07-04,2743,Beauty
2017-07-05,13.4,Social Life
2017-07-05,2646,Beauty
2017-07-06,12.2,Social Life
2017-07-06,760,Other
2017-07-07,13.2,Social Life
2017-07-07,6719,Education
2017-07-08,13,Social Life
2017-07-08,6659,Cash
2017-07-09,12.4,Social Life
2017-07-09,6148,Other
2017-07-10,13.1,Social Life
2017-07-10,1956,Gift
2017-07-11,9.8,Social Life
2017-07-11,622,Food
2017-07-12,10.5,Social Life
2017-07-12,8782,Food
2017-07-13,13.4,Social Life
2017-07-13,9251,Other
2017-07-14,11,Social Life
2017-07-15,13.1,Social Life
2017-07-15,8556,Education
2017-07-16,15,Social Life
2017-07-16,4627,Gift
2017-07-17,16.7,Social Life
2017-07-17,1288,Apparel
2017-07-18,16.1,Social Life
2017-07-18,9266,Salary
2017-07-19,18.2,Social Life
2017-07-19,1689,Household
2017-07-20,15.7,Social Life
2017-07-20,9821,Transportation
2017-07-21,17.7,Social Life
2017-07-21,2486,Education
2017-07-22,15.9,Social Life
2017-07-22,4087,Allowance
2017-07-23,15.1,Social Life
2017-07-23,6743,Beauty
2017-07-24,15.2,Social Life
2017-07-24,1541,Transportation
2017-07-25,14.7,Social Life
2017-07-25,3305,Allowance
2017-07-26,13.3,Social Life
2017-07-26,1748,Food
2017-07-27,14.5,Social Life
2017-07-27,9499,Transportation
2017-07-28,11.1,Social Life
2017-07-28,7720,Other
2017-07-29,13.1,Social Life
2017-07-29,8742,Apparel
2017-07-30,13.7,Social Life
2017-07-30,8913,Salary
2017-07-31,14.6,Social Life
2017-07-31,3703,Transportation
2017-08-01,12.9,Social Life
2017-08-01,2164,Beauty
2017-08-02,12.8,Social Life
2017-08-02,1472,Other
2017-08-03,15.2,Social Life
2017-08-03,6632,Food
2017-08-04,14.5,Social Life
2017-08-04,5545,Cash
2017-08-05,17.2,Social Life
2017-08-05,439,Cash
2017-08-06,14.5,Social Life
2017-08-06,6782,Education
2017-08-07,14.4,Social Life
2017-08-07,3593,Food
2017-08-08,11,Social Life
2017-08-08,2009,Salary
2017-08-09,13.1,Social Life
2017-08-10,13.6,Social Life
2017-08-10,8976,Cash
2017-08-11,14.6,Social Life
2017-08-11,6546,Beauty
2017-08-12,12.7,Social Life
2017-08-12,4471,Transportation
2017-08-13,13.6,Social Life
2017-08-13,9262,Household
2017-08-14,12.7,Social Life
2017-08-14,3158,Beauty
2017-08-15,15.5,Social Life
2017-08-15,5155,Household
2017-08-16,17.4,Social Life
2017-08-16,1336,Food
2017-08-17,15.2,Social Life
2017-08-17,1464,Beauty
2017-08-18,14.2,Social Life
2017-08-18,7745,Gift
2017-08-19,17.7,Social Life
2017-08-19,8210,Cash
2017-08-20,19.2,Social Life
2017-08-20,1948,Education
2017-08-21,12.5,Social Life
2017-08-21,3580,Beauty
2017-08-22,14.2,Social Life
2017-08-22,3584,Food
2017-08-23,15.3,Social Life
2017-08-23,7412,Apparel
2017-08-24,15.7,Social Life
2017-08-24,6319,Gift
2017-08-25,17,Social Life
2017-08-25,1978,Cash
2017-08-26,19,Social Life
2017-08-26,6672,Salary
2017-08-27,13.1,Social Life
2017-08-27,2394,Cash
2017-08-28,13.2,Social Life
2017-08-28,55,Beauty
2017-08-29,13.2,Social Life
2017-08-29,2544,Gift
2017-08-30,15.7,Social Life
2017-08-30,7390,Salary
2017-08-31,14.1,Social Life
2017-08-31,1538,Salary
2017-09-01,15.6,Social Life
2017-09-01,8458,Education
2017-09-02,15.5,Social Life
2017-09-02,8773,Education
2017-09-03,15.9,Social Life
2017-09-03,8017,Other
2017-09-04,15.1,Social Life
2017-09-04,7766,Salary
2017-09-05,16,Social Life
2017-09-06,19.4,Social Life
2017-09-07,21.5,Social Life
2017-09-07,232,Transportation
2017-09-08,23.7,Social Life
2017-09-08,6426,Gift
2017-09-09,18.7,Social Life
2017-09-09,8721,Beauty
2017-09-10,23.8,Social Life
2017-09-10,8350,Education
2017-09-11,18,Social Life
2017-09-11,8572,Gift
2017-09-12,16.2,Social Life
2017-09-12,6113,Salary
2017-09-13,18.5,Social Life
2017-09-13,2325,Food
2017-09-14,20.6,Social Life
2017-09-14,8079,Food
2017-09-15,18.3,Social Life
2017-09-15,7633,Beauty
2017-09-16,22.5,Social Life
2017-09-16,9378,Other
2017-09-17,26.9,Social Life
2017-09-17,4794,Allowance
2017-09-18,19.4,Social Life
2017-09-19,15.9,Social Life
2017-09-19,7660,Beauty
2017-09-20,20.5,Social Life
2017-09-20,5181,Allowance
2017-09-21,21.2,Social Life
2017-09-21,7693,Food
2017-09-22,19.5,Social Life
2017-09-23,14.7,Social Life
2017-09-23,8031,Other
2017-09-24,17.6,Social Life
2017-09-24,7018,Transportation
2017-09-25,15.8,Social Life
2017-09-25,6836,Transportation
2017-09-26,17.7,Social Life
2017-09-26,3565,Cash
2017-09-27,14.3,Social Life
2017-09-27,4758,Food
2017-09-28,16.8,Social Life
2017-09-29,18.6,Social Life
2017-09-30,21.9,Social Life
2017-09-30,439,Education
2017-10-01,21.4,Social Life
2017-10-01,6950,Other
2017-10-02,20.8,Social Life
2017-10-02,6406,Cash
2017-10-03,14,Social Life
2017-10-03,2242,Salary
2017-10-04,17,Social Life
2017-10-04,7220,Food
2017-10-05,23,Social Life
2017-10-05,1578,Allowance
2017-10-06,26.4,Social Life
2017-10-06,1575,Cash
2017-10-07,19.6,Social Life
2017-10-07,5713,Transportation
2017-10-08,22.7,Social Life
2017-10-08,6499,Beauty
2017-10-09,26.9,Social Life
2017-10-09,3780,Food
2017-10-10,14.7,Social Life
2017-10-11,15.2,Social Life
2017-10-11,208,Allowance
2017-10-12,19.8,Social Life
2017-10-12,161,Food
2017-10-13,26.9,Social Life
2017-10-13,5499,Other
2017-10-14,20.2,Social Life
2017-10-14,2804,Apparel
2017-10-15,14.3,Social Life
2017-10-16,14.8,Social Life
2017-10-16,4524,Transportation
2017-10-17,18.5,Social Life
2017-10-17,2413,Education
2017-10-18,21.7,Social Life
2017-10-18,4955,Gift
2017-10-19,21.4,Social Life
2017-10-19,6086,Salary
2017-10-20,21.8,Social Life
2017-10-20,1093,Beauty
2017-10-21,18.2,Social Life
2017-10-21,8600,Gift
2017-10-22,15.8,Social Life
2017-10-22,9004,Allowance
2017-10-23,15.3,Social Life
2017-10-23,1644,Gift
2017-10-24,18.5,Social Life
2017-10-24,3838,Food
2017-10-25,19.2,Social Life
2017-10-25,6311,Household
2017-10-26,28.5,Social Life
2017-10-26,1852,Cash
2017-10-27,32.2,Social Life
2017-10-27,8179,Transportation
2017-10-28,21.8,Social Life
2017-10-28,3610,Gift
2017-10-29,22.1,Social Life
2017-10-29,2146,Cash
2017-10-30,20.7,Social Life
2017-10-30,4650,Gift
2017-10-31,17,Social Life
2017-10-31,1583,Education
2017-11-01,24.7,Social Life
2017-11-01,3756,Cash
2017-11-02,26.2,Social Life
2017-11-02,7346,Household
2017-11-03,29,Social Life
2017-11-03,6639,Gift
2017-11-04,21.6,Social Life
2017-11-04,6403,Other
2017-11-05,17.1,Social Life
2017-11-05,193,Other
2017-11-06,16.9,Social Life
2017-11-06,5410,Apparel
2017-11-07,19.1,Social Life
2017-11-07,9182,Transportation
2017-11-08,24.7,Social Life
2017-11-08,2187,Allowance
2017-11-09,25.4,Social Life
2017-11-09,1436,Apparel
2017-11-10,19.8,Social Life
2017-11-10,5983,Other
2017-11-11,18.2,Social Life
2017-11-11,5226,Allowance
2017-11-12,16.3,Social Life
2017-11-12,8044,Education
2017-11-13,17,Social Life
2017-11-13,5357,Transportation
2017-11-14,17.7,Social Life
2017-11-14,6296,Beauty
2017-11-15,15.5,Social Life
2017-11-15,4127,Allowance
2017-11-16,14.7,Social Life
2017-11-16,9034,Cash
2017-11-17,15.8,Social Life
2017-11-17,7917,Gift
2017-11-18,19.9,Social Life
2017-11-18,8345,Household
2017-11-19,20.4,Social Life
2017-11-19,7016,Education
2017-11-20,23.3,Social Life
2017-11-20,4475,Household
2017-11-21,20.2,Social Life
2017-11-21,9073,Transportation
2017-11-22,28.8,Social Life
2017-11-22,9669,Transportation
2017-11-23,31.2,Social Life
2017-11-24,17.4,Social Life
2017-11-24,7066,Other
2017-11-25,18.5,Social Life
2017-11-26,26.8,Social Life
2017-11-26,6377,Apparel
2017-11-27,34.3,Social Life
2017-11-27,1053,Food
2017-11-28,30.1,Social Life
2017-11-28,6502,Apparel
2017-11-29,20.5,Social Life
2017-11-29,2978,Education
2017-11-30,20.5,Social Life
2017-11-30,3431,Allowance
2017-12-01,19.8,Social Life
2017-12-01,7940,Food
2017-12-02,27,Social Life
2017-12-02,5033,Beauty
2017-12-03,21,Social Life
2017-12-03,2342,Other
2017-12-04,33,Social Life
2017-12-05,22.6,Social Life
2017-12-05,1849,Food
2017-12-06,28.3,Social Life
2017-12-06,8868,Gift
2017-12-07,21.1,Social Life
2017-12-07,5990,Apparel
2017-12-08,19,Social Life
2017-12-08,5272,Transportation
2017-12-09,17.3,Social Life
2017-12-09,5898,Household
2017-12-10,27,Social Life
2017-12-10,256,Apparel
2017-12-11,30.2,Social Life
2017-12-11,4651,Allowance
2017-12-12,24.8,Social Life
2017-12-12,3444,Beauty
2017-12-13,17.9,Social Life
2017-12-13,1294,Transportation
2017-12-14,17.9,Social Life
2017-12-14,4589,Transportation
2017-12-15,20.7,Social Life
2017-12-15,7670,Salary
2017-12-16,30.9,Social Life
2017-12-16,9912,Apparel
2017-12-17,36.2,Social Life
2017-12-17,3196,Allowance
2017-12-18,21,Social Life
2017-12-18,9589,Household
2017-12-19,20.2,Social Life
2017-12-19,9768,Other
2017-12-20,21.3,Social Life
2017-12-20,6628,Household
2017-12-21,24.2,Social Life
2017-12-21,7005,Other
2017-12-22,21,Social Life
2017-12-22,96,Apparel
2017-12-23,20.7,Social Life
2017-12-24,17.8,Social Life
2017-12-24,9043,Education
2017-12-25,19.6,Social Life
2017-12-26,22.6,Social Life
2017-12-26,632,Food
2017-12-27,20.5,Social Life
2017-12-27,1364,Transportation
2017-12-28,24.1,Social Life
2017-12-28,4307,Gift
2017-12-29,22.2,Social Life
2017-12-29,3942,Allowance
2017-12-30,27,Social Life
2017-12-30,5664,Education
2017-12-31,33.6,Social Life
2017-12-31,8494,Beauty
2018-01-01,26.6,Social Life
2018-01-01,9997,Food
2018-01-02,20.6,Social Life
2018-01-02,8658,Other
2018-01-03,24.5,Social Life
2018-01-03,3592,Transportation
2018-01-04,19.8,Social Life
2018-01-04,7261,Gift
2018-01-05,22.6,Social Life
2018-01-05,5245,Apparel
2018-01-06,29.2,Social Life
2018-01-06,6830,Transportation
2018-01-07,20.3,Social Life
2018-01-08,23,Social Life
2018-01-08,6379,Allowance
2018-01-09,24.4,Social Life
2018-01-09,8670,Allowance
2018-01-10,38,Social Life
2018-01-10,6293,Household
2018-01-11,40.5,Social Life
2018-01-11,7124,Beauty
2018-01-12,24.2,Social Life
2018-01-12,2820,Food
2018-01-13,20.2,Social Life
2018-01-14,21.8,Social Life
2018-01-14,9513,Salary
2018-01-15,27,Social Life
2018-01-15,1784,Cash
2018-01-16,35.2,Social Life
2018-01-16,837,Beauty
2018-01-17,25.2,Social Life
2018-01-17,9632,Apparel
2018-01-18,32.7,Social Life
2018-01-18,1819,Beauty
2018-01-19,35.9,Social Life
2018-01-20,38.9,Social Life
2018-01-20,4826,Allowance
2018-01-21,26.5,Social Life
2018-01-21,1386,Household
2018-01-22,21.8,Social Life
2018-01-22,8697,Cash
2018-01-23,37.9,Social Life
2018-01-23,9081,Allowance
2018-01-24,43.3,Social Life
2018-01-24,7793,Cash
2018-01-25,19,Social Life
2018-01-25,2622,Gift
2018-01-26,19.7,Social Life
2018-01-26,7372,Household
2018-01-27,21.4,Social Life
2018-01-27,3324,Other
2018-01-28,32,Social Life
2018-01-29,33.3,Social Life
2018-01-29,8702,Cash
2018-01-30,22.2,Social Life
2018-01-30,7433,Beauty
2018-01-31,21.3,Social Life
2018-01-31,7623,Apparel
2018-02-01,20.8,Social Life
2018-02-01,2364,Transportation
2018-02-02,22.3,Social Life
2018-02-02,7551,Education
2018-02-03,22.5,Social Life
2018-02-03,9432,Salary
2018-02-04,21.4,Social Life
2018-02-04,3190,Salary
2018-02-05,23,Social Life
2018-02-05,1061,Cash
2018-02-06,35.1,Social Life
2018-02-07,40.3,Social Life
2018-02-07,7866,Allowance
2018-02-08,39,Social Life
2018-02-08,7915,Salary
2018-02-09,21.1,Social Life
2018-02-09,7217,Education
2018-02-10,25.4,Social Life
2018-02-10,7408,Food
2018-02-11,23.6,Social Life
2018-02-11,514,Allowance
2018-02-12,28.1,Social Life
2018-02-12,6738,Salary
2018-02-13,37,Social Life
2018-02-13,4254,Cash
2018-02-14,39.3,Social Life
2018-02-14,2790,Allowance
2018-02-15,39.4,Social Life
2018-02-15,735,Education
2018-02-16,25.8,Social Life
2018-02-16,2387,Apparel
2018-02-17,27.7,Social Life
